0	Indeterminate	Indeterminate
31800	1.5272725871705285e-11	-3.0396725017658873e-10
32100	1.3003505248458198e-11	-2.9612306025213255e-10
32400	1.077269746224995e-11	-2.88302916170328e-10
32700	8.578694629811677e-12	-2.805067430828434e-10
33000	6.419927909253356e-12	-2.7273442410995093e-10
33300	4.294866783796751e-12	-2.6498580157048515e-10
33600	2.2020183320308165e-12	-2.5726067820811724e-10
33900	1.3992648806580952e-13	-2.4955881841298677e-10
34200	-1.892828705338289e-12	-2.418799494378373e-10
34500	-3.8976318478748e-12	-2.342237626078681e-10
34800	-5.875832934484911e-12	-2.2658991452362356e-10
35100	-7.82874810754415e-12	-2.1897802825630864e-10
35400	-9.757660406360121e-12	-2.1138769453499522e-10
35700	-1.1663820512100518e-11	-2.0381847292527167e-10
