0.	Indeterminate	Indeterminate
0.0152	-8.106798745755722e-23	-3.190526691220261e-22
0.015300000000000001	-1.2360077606370437e-22	-3.108326244613764e-22
0.0154	-1.6380448753958337e-22	-2.982352781278663e-22
0.0155	-2.0103377321548451e-22	-2.8151450946537174e-22
0.015600000000000001	-2.346902990114463e-22	-2.6098950711879163e-22
0.015700000000000002	-2.642327702610917e-22	-2.3703961056783545e-22
0.0158	-2.891860598049492e-22	-2.1009814526329457e-22
0.0159	-3.0914928329262346e-22	-1.8064534972255254e-22
0.016	-3.2380268250967417e-22	-1.4920050848632308e-22
0.0161	-3.3291319682320984e-22	-1.1631341853694221e-22
0.0162	-3.3633862420458245e-22	-8.255532839354241e-23
0.016300000000000002	-3.3403029638692265e-22	-4.8509498428841173e-23
0.0164	-3.260342171677594e-22	-1.4761537831874138e-23
0.0165	-3.1249063826718964e-22	1.8110322052776278e-23
0.0166	-2.936320730772647e-22	4.9544856626526947e-23
0.0167	-2.697797746557865e-22	7.900721883457913e-23
0.016800000000000002	-2.41338729992067e-22	1.0599789523506726e-22
0.016900000000000002	-2.0879124747248928e-22	1.3006109706218245e-22
0.017	-1.7268923818074092e-22	1.5079244488305477e-22
0.0171	-1.336453137812204e-22	1.6784581671432635e-22
0.0172	-9.232284387953216e-23	1.809392429385039e-22
0.0173	-4.9425133588684074e-23	1.8985974682363837e-22
0.017400000000000002	-5.683897248616208e-24	1.944670466503372e-22
0.0175	3.8152783411899e-23	1.9469605410545787e-22
0.0176	8.133281913260416e-23	1.9055812340488433e-22
0.0177	1.2311258746589435e-22	1.8214102623152407e-22
0.0178	1.6276931544608639e-22	1.696076486774809e-22
0.0179	1.996131652110287e-22	1.5319342761085097e-22
0.018000000000000002	2.3299882140682196e-22	1.3320256489440966e-22
0.0181	2.6233638676430614e-22	1.1000307831514388e-22
0.0182	2.871014030315919e-22	8.402076759841651e-23
0.0183	3.0684382830953215e-22	5.573219215149134e-23
0.0184	3.2119581854459926e-22	2.5656773900840336e-23
0.018500000000000003	3.298781802159264e-22	-5.651846525772492e-24
0.018600000000000002	3.3270538279686013e-22	-3.761505922018275e-23
0.0187	3.295890430244855e-22	-6.963898846753771e-23
0.0188	3.2053981798882315e-22	-1.0112449070814275e-22
0.0189	3.0566767014636527e-22	-1.314772820309493e-22
0.019	2.851804941403811e-22	-1.6011802756899895e-22
0.019100000000000002	2.593811223309005e-22	-1.8649222526357253e-22
0.019200000000000002	2.2866275275341245e-22	-2.1007971933490467e-22
0.0193	1.9350286939246284e-22	-2.304036844023043e-22
